Date,Stock,Open,High,Low,Close,Volume
2024-01-01,AAPL,185.50,187.20,184.80,186.50,45000000
2024-01-02,AAPL,186.50,188.30,185.90,187.80,52000000
2024-01-03,AAPL,187.80,189.60,186.40,188.90,48000000
2024-01-04,AAPL,188.90,190.20,187.60,189.50,51000000
2024-01-05,AAPL,189.50,191.80,188.70,190.20,49000000
2024-01-08,AAPL,190.20,192.40,189.30,191.60,47000000
2024-01-09,AAPL,191.60,193.70,190.50,192.80,53000000
2024-01-10,AAPL,192.80,194.90,191.70,193.90,50000000
2024-01-11,AAPL,193.90,195.60,192.80,194.70,46000000
2024-01-12,AAPL,194.70,196.80,193.60,195.90,52000000
2024-01-01,TSLA,248.50,252.30,246.80,250.20,85000000
2024-01-02,TSLA,250.20,254.60,248.90,253.40,92000000
2024-01-03,TSLA,253.40,256.80,251.60,255.70,88000000
2024-01-04,TSLA,255.70,258.90,254.20,257.60,95000000
2024-01-05,TSLA,257.60,260.40,256.10,259.30,91000000
2024-01-08,TSLA,259.30,262.70,258.40,261.80,87000000
2024-01-09,TSLA,261.80,264.90,260.50,263.70,93000000
2024-01-10,TSLA,263.70,266.20,262.30,265.40,89000000
2024-01-11,TSLA,265.40,267.80,264.10,266.90,85000000
2024-01-12,TSLA,266.90,269.50,265.60,268.70,92000000
2024-01-01,MSFT,375.20,378.90,373.60,377.40,35000000
2024-01-02,MSFT,377.40,380.60,376.20,379.80,38000000
2024-01-03,MSFT,379.80,382.40,378.50,381.20,36000000
2024-01-04,MSFT,381.20,384.70,380.10,383.50,39000000
2024-01-05,MSFT,383.50,386.20,382.30,385.40,37000000
2024-01-08,MSFT,385.40,388.60,384.20,387.30,40000000
2024-01-09,MSFT,387.30,390.40,386.10,389.20,41000000
2024-01-10,MSFT,389.20,391.80,387.90,390.70,38000000
2024-01-11,MSFT,390.70,393.50,389.40,392.60,42000000
2024-01-12,MSFT,392.60,395.20,391.30,394.40,40000000
2024-01-01,GOOGL,140.80,142.60,139.90,141.70,28000000
2024-01-02,GOOGL,141.70,143.80,140.60,142.90,30000000
2024-01-03,GOOGL,142.90,144.70,141.80,143.80,29000000
2024-01-04,GOOGL,143.80,145.90,142.70,144.90,31000000
2024-01-05,GOOGL,144.90,146.60,143.60,145.70,29500000
2024-01-08,GOOGL,145.70,147.80,144.50,146.90,32000000
2024-01-09,GOOGL,146.90,148.70,145.80,147.80,30500000
2024-01-10,GOOGL,147.80,149.90,146.70,148.90,33000000
2024-01-11,GOOGL,148.90,150.60,147.60,149.80,31000000
2024-01-12,GOOGL,149.80,151.90,148.50,150.90,32500000
2024-01-01,NVDA,485.20,489.60,483.40,487.80,65000000
2024-01-02,NVDA,487.80,492.30,486.20,490.70,72000000
2024-01-03,NVDA,490.70,494.80,489.10,493.20,68000000
2024-01-04,NVDA,493.20,497.40,491.80,496.10,75000000
2024-01-05,NVDA,496.10,499.60,494.50,498.30,71000000
2024-01-08,NVDA,498.30,502.70,496.80,501.40,78000000
2024-01-09,NVDA,501.40,505.20,499.90,504.10,74000000
2024-01-10,NVDA,504.10,507.80,502.60,506.70,80000000
2024-01-11,NVDA,506.70,509.40,505.20,508.60,76000000
2024-01-12,NVDA,508.60,512.30,507.10,511.20,82000000
2024-01-01,AMZN,150.30,152.80,149.60,151.90,42000000
2024-01-02,AMZN,151.90,154.40,150.80,153.70,45000000
2024-01-03,AMZN,153.70,155.90,152.40,154.80,43000000
2024-01-04,AMZN,154.80,157.20,153.60,156.40,46000000
2024-01-05,AMZN,156.40,158.60,155.20,157.90,44000000
2024-01-08,AMZN,157.90,160.30,156.80,159.40,47000000
2024-01-09,AMZN,159.40,161.70,158.20,160.80,45000000
2024-01-10,AMZN,160.80,163.10,159.60,162.30,48000000
2024-01-11,AMZN,162.30,164.50,161.20,163.70,46000000
2024-01-12,AMZN,163.70,166.20,162.80,165.40,49000000
2024-01-01,META,380.40,384.20,378.90,382.70,38000000
2024-01-02,META,382.70,386.50,381.20,385.30,41000000
2024-01-03,META,385.30,388.90,383.80,387.40,39000000
2024-01-04,META,387.40,390.60,386.10,389.20,42000000
2024-01-05,META,389.20,392.80,387.90,391.60,40000000
2024-01-08,META,391.60,395.40,390.20,394.10,43000000
2024-01-09,META,394.10,397.70,392.80,396.30,41000000
2024-01-10,META,396.30,399.80,394.90,398.40,44000000
2024-01-11,META,398.40,401.60,397.10,400.20,42000000
2024-01-12,META,400.20,403.90,398.80,402.60,45000000


